,Cutoff,TP,FP,Precision,Recall
0,0.0,45093,222539,16.848882046989896,100.0
1,0.15,36821,122368,23.13036704797442,81.65568935311467
2,0.16,33338,94615,26.054879526075982,73.93165236289447
3,0.17,30068,72738,29.24732019531934,66.67997250127515
4,0.19,25033,45906,35.28806439335204,55.51415962566252
5,0.21,21316,31136,40.63906047433844,47.27119508571175
6,0.25,16126,16941,48.76765355187952,35.76164814938017
7,0.3,11911,9894,54.62508598945196,26.414299336925907
8,0.8,1643,890,64.86379786814055,3.6435810436209612
